"month","mdollars"
"2002-01",9912
"2002-02",8925
"2002-03",9670
"2002-04",9684
"2002-05",9713
"2002-06",8969
"2002-07",9478
"2002-08",9845
"2002-09",9678
"2002-10",10738
"2002-11",11412
"2002-12",14190
"2003-01",10568
"2003-02",9654
"2003-03",10403
"2003-04",10415
"2003-05",10322
"2003-06",10185
"2003-07",10511
"2003-08",10641
"2003-09",11253
"2003-10",12099
"2003-11",12162
"2003-12",16091
"2004-01",11989
"2004-02",11260
"2004-03",12621
"2004-04",12030
"2004-05",11706
"2004-06",11840
"2004-07",11655
"2004-08",12540
"2004-09",12412
"2004-10",13030
"2004-11",14604
"2004-12",18470
"2005-01",13209
"2005-02",12317
"2005-03",14154
"2005-04",13352
"2005-05",13639
"2005-06",13634
"2005-07",13107
"2005-08",14910
"2005-09",14318
"2005-10",15022
"2005-11",16922
"2005-12",21316
"2006-01",15811
"2006-02",14531
"2006-03",17046
"2006-04",15024
"2006-05",16071
"2006-06",15795
"2006-07",14768
"2006-08",16897
"2006-09",16050
"2006-10",17497
"2006-11",19037
"2006-12",23724
"2007-01",17540
"2007-02",16118
"2007-03",18040
"2007-04",16927
"2007-05",18053
"2007-06",17211
"2007-07",17617
"2007-08",18523
"2007-09",17206
"2007-10",19574
"2007-11",21583
"2007-12",25289
"2008-01",18635
"2008-02",17368
"2008-03",17942
"2008-04",18612
"2008-05",18546
"2008-06",18039
"2008-07",18492
"2008-08",18035
"2008-09",18444
"2008-10",18946
"2008-11",18875
"2008-12",26269
"2009-01",18076
"2009-02",16675
"2009-03",18342
"2009-04",17773
"2009-05",17644
"2009-06",18494
"2009-07",18421
"2009-08",18541
"2009-09",18998
"2009-10",19558
"2009-11",21773
"2009-12",29377
"2010-01",19345
"2010-02",18208
"2010-03",21374
"2010-04",20152
"2010-05",19790
"2010-06",20787
"2010-07",19659
"2010-08",21369
"2010-09",21115
"2010-10",21196
"2010-11",25030
"2010-12",32619
"2011-01",22041
"2011-02",20503
"2011-03",23622
"2011-04",21772
"2011-05",22927
"2011-06",22823
"2011-07",21365
"2011-08",24054
"2011-09",23062
"2011-10",23733
"2011-11",28733
"2011-12",36217
"2012-01",24157
"2012-02",23592
"2012-03",25274
"2012-04",23807
"2012-05",25705
"2012-06",24434
"2012-07",24460
"2012-08",26828
"2012-09",25047
"2012-10",27136
"2012-11",32462
"2012-12",39641
"2013-01",28437
"2013-02",25749
"2013-03",27988
"2013-04",28218
"2013-05",28748
"2013-06",26975
"2013-07",28349
"2013-08",29297
"2013-09",28283
"2013-10",29657
"2013-11",33381
"2013-12",44500
